2025-01-28 00:32:52.718 [warning] Dir "/home/marty_jehng/.pixi/envs" is not watchable (directory does not exist)
2025-01-28 00:32:52.962 [info] Python interpreter path: /bin/python
2025-01-28 00:32:53.222 [info] > pyenv which python
2025-01-28 00:32:53.222 [info] cwd: .
2025-01-28 00:33:02.515 [info] Starting Jedi language server for marty_jehng.
2025-01-28 00:50:19.051 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 00:50:33.899 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 00:50:37.607 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 00:50:40.311 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 00:50:47.002 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 00:50:52.358 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 00:50:54.058 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 00:50:56.122 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 00:51:20.554 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 00:51:25.466 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 00:51:31.037 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 00:51:40.040 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 00:51:47.189 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 00:51:50.514 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 00:51:52.840 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 00:51:56.180 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 00:51:56.869 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 00:52:03.322 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 00:56:26.207 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 00:56:27.906 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 00:56:28.974 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 00:56:32.335 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 01:01:31.104 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 01:01:35.089 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 01:01:38.040 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 01:01:46.462 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 01:01:51.425 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 01:01:56.183 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 01:02:30.058 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 01:03:01.274 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 01:03:03.580 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 01:23:53.917 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 01:24:10.583 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 01:25:19.435 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 01:25:20.964 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 01:29:25.647 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 01:29:29.587 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 01:32:39.160 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 01:32:40.970 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 01:32:44.008 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 01:32:45.226 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 01:35:51.109 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
