2025-01-28 01:46:48.834 [warning] Dir "/home/marty_jehng/.pixi/envs" is not watchable (directory does not exist)
2025-01-28 01:46:48.930 [info] Python interpreter path: /bin/python
2025-01-28 01:46:49.277 [info] > pyenv which python
2025-01-28 01:46:49.277 [info] cwd: .
2025-01-28 01:47:05.831 [info] Starting Jedi language server for marty_jehng.
2025-01-28 01:47:35.619 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 01:47:50.420 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 01:49:59.307 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 01:51:41.521 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 01:51:45.058 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 01:53:54.742 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 01:54:00.432 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 01:54:02.816 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 01:56:11.210 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 02:01:45.584 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 02:02:29.404 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 02:02:33.151 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 02:05:07.853 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 02:05:09.729 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 02:05:11.279 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 02:05:19.414 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 02:05:24.690 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 02:05:29.220 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 02:05:37.141 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 02:05:52.359 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 02:05:54.745 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
2025-01-28 02:05:57.634 [info] Discover tests for workspace name: marty_jehng - uri: /home/marty_jehng/main.py
