I0226 05:26:32.888871   11079 serve.go:43] cloudcode_cli (Jan 21 2025 17:43:36 -0800, cl:718125841 baseline:716751907)
I0226 05:26:32.892481   11079 serve.go:44] Command line: ["/home/marty_jehng/.cache/cloud-code/cloudcode_cli/cloudcode_cli/linux_amd64/cloudcode_cli" "duet" "-logtostderr"]
I0226 05:26:32.894900   11079 life_cycle.go:166] Initializing. Architecture: "amd64", Operating system: "linux"
I0226 05:26:33.149990   11079 configuration.go:182] product updateChannel will be used
W0226 05:26:33.150489   11079 configuration.go:792] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
W0226 05:26:33.150793   11079 configuration.go:792] ignoring configuration value "ragl.topKDocFilesToInclude" with type float64, need int
I0226 05:26:33.150816   11079 configuration.go:642] language thresholds: map[]
I0226 05:26:33.150830   11079 configuration.go:600] dataFileExtensions array: [.csv .tsv .jsonl]
I0226 05:26:33.150849   11079 configuration.go:845] atlas codeCompletion llm options: {MaxTokens:64 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc001273bb1 StopSequences:map[] DataFilePromptLines:0}
I0226 05:26:33.150877   11079 configuration.go:845] atlas codeGeneration llm options: {MaxTokens:512 Temp:0.2 Samples:4 EnablePrompt:<nil> PromptOverride: PostProcess:0xc001273bc1 StopSequences:map[*:[[eod] [EOF] [pre] [suf] [mid]]] DataFilePromptLines:5}
I0226 05:26:33.151051   11079 configuration.go:270] Configured settings for atlasOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"EnableAdminCitationBlock":false,"Complete":{"MaxTokens":64,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":null,"DataFilePromptLines":0},"Generate":{"MaxTokens":512,"Temp":0.2,"Samples":4,"EnablePrompt":null,"PromptOverride":"","PostProcess":true,"StopSequences":{"*":["[eod]","[EOF]","[pre]","[suf]","[mid]"]},"DataFilePromptLines":5},"DataFileExtensions":[".csv",".tsv",".jsonl"]}
I0226 05:26:33.151085   11079 configuration.go:278] Configured settings for cloudCodeOpts: {"Project":"","LogPrompt":true,"UseTypeoverCache":true,"EnablePromptEnhancement":false,"EnablePromptEnhancementForTransform":false,"EnablePromptEnhancementForChat":false,"EnableAdminCitationBlock":false}
I0226 05:26:33.151094   11079 configuration.go:282] Configured settings for opts: &{trace:false atlasAddr:cloudaicompanion.googleapis.com:443 cloudCodeAddr:cloudcode-pa.googleapis.com:443 cloudCodeQuotaProject: autoGen:false invokeGen:true codeCacheMaxEntries:1024 completionOpts:{debounce:300000000 throttle:100000000 minScoreThreshold:-6 languageThresholds:map[] enableThresholds:true commentCompletion:false citationLengthThreshold:-1 enableRecitations:true citationLogFilePath: repeatedStringFilterThreshold:60 otherFilesGenerationLimit:20 otherFilesGenerationSizeLimit:-1 otherFilesCompletionLimit:0 multiQueryTailNSForCompletion:[] multiQueryTailNSForGeneration:[]} contextExclusionFile:.aiexclude chatOpts:{contextOrdering:fsu maxFileBytes:75000 maxHistoryBytes:500000 escapeContext:false otherFilesLimit:20 otherFilesSizeLimit:-1 userSelectedFilesSizeLimit:-1} useRest:<nil> useCloudCodeAPI:true enableNotebooks:false enableRAGL:false enableRAGLCompletion:false enableRAGLChat:false ragLRerankByLangBoost:0 raglCoLocated:20 raglTotalFiles:250 raglFileLimit:524288 raglIncludeDocFiles:false raglIncludeUnitTestFile:false raglMaxFileSearchDepth:1 substringsToIdentifyTestPrompts:[test] substringsToIdentifyDocPrompts:[document comment] raglTopKTestFilesToInclude:0 raglTopKDocFilesToInclude:0}
I0226 05:26:33.151127   11079 configuration.go:284] Configured settings for canCancelRequests: true
I0226 05:26:33.151134   11079 configuration.go:286] Configured settings for contextPromptOpts: &{Endpoint:}
W0226 05:26:33.154447   11079 configuration.go:290] Failed to retrieve verboseLogging: configuration value not is not a string: false
I0226 05:26:33.214315   11079 handler.go:159] cancel was requested for: 1, needs to be canceled: false
I0226 05:26:33.214329   11079 handler.go:163] cancel requested for 1 but not found
I0226 05:26:46.558764   11079 handler.go:159] cancel was requested for: 4, needs to be canceled: true
I0226 05:26:46.558960   11079 handler.go:146] req #4 skipped: context canceled
I0226 05:27:25.256400   11079 handler.go:159] cancel was requested for: 5, needs to be canceled: false
I0226 05:27:25.256417   11079 handler.go:163] cancel requested for 5 but not found
I0226 05:27:25.256437   11079 handler.go:159] cancel was requested for: 7, needs to be canceled: false
I0226 05:27:25.256443   11079 handler.go:163] cancel requested for 7 but not found
I0226 05:27:33.155435   11079 life_cycle.go:297] codeReportEvery: recomputing codereport metric
I0226 05:28:33.155136   11079 life_cycle.go:297] codeReportEvery: recomputing codereport metric
W0226 05:37:42.069502   11079 server.go:633] unknown method "$/setTrace"
I0226 05:37:42.084175   11079 configuration.go:182] product updateChannel will be used
W0226 05:37:42.084219   11079 configuration.go:792] ignoring configuration value "ragl.topKTestFilesToInclude" with type float64, need int
